Start,End,Frequency,Route
Liverpool Street,Bush Hill Park,1,Liverpool Street - Bush Hill Park
Liverpool Street,Brockley,1,Liverpool Street - Brockley
Liverpool Street,Brentwood,1,Liverpool Street - Brentwood
Liverpool Street,Bounds Green,1,Liverpool Street - Bounds Green
Liverpool St NR,Great Portland Street,1,Liverpool St NR - Great Portland Street
Liverpool St NR,Queensbury,1,Liverpool St NR - Queensbury
Liverpool Street,Belsize Park,1,Liverpool Street - Belsize Park
Liverpool Street,Barbican,1,Liverpool Street - Barbican
Liverpool Street,Bank,1,Liverpool Street - Bank
Liverpool Street,Alperton,1,Liverpool Street - Alperton
Liverpool Street,Aldgate East,1,Liverpool Street - Aldgate East
Liverpool St NR,Wimbledon,1,Liverpool St NR - Wimbledon
Liverpool St NR,White City,1,Liverpool St NR - White City
Liverpool St NR,Wembley Park,1,Liverpool St NR - Wembley Park
Liverpool St NR,Tower Hill,1,Liverpool St NR - Tower Hill
Liverpool St NR,Tottenham Court Road,1,Liverpool St NR - Tottenham Court Road
Liverpool St NR,Stratford International,1,Liverpool St NR - Stratford International
Liverpool St NR,Sloane Square,1,Liverpool St NR - Sloane Square
Liverpool St NR,Shadwell LO,1,Liverpool St NR - Shadwell LO
Liverpool St NR,Seven Sisters,1,Liverpool St NR - Seven Sisters
Liverpool St NR,Regents Park,1,Liverpool St NR - Regents Park
Liverpool St NR,Paddington EL,1,Liverpool St NR - Paddington EL
Liverpool St NR,Paddington,1,Liverpool St NR - Paddington
Liverpool St NR,Oxford Circus,1,Liverpool St NR - Oxford Circus
Liverpool St NR,Oval,1,Liverpool St NR - Oval
Liverpool St NR,Notting Hill Gate,1,Liverpool St NR - Notting Hill Gate
Liverpool St NR,Northolt,1,Liverpool St NR - Northolt
Liverpool St NR,North Greenwich,1,Liverpool St NR - North Greenwich
Liverpool St NR,New Cross Gate,1,Liverpool St NR - New Cross Gate
Liverpool St NR,Moorgate,1,Liverpool St NR - Moorgate
Liverpool St NR,Mile End,1,Liverpool St NR - Mile End
Liverpool St NR,Maryland,1,Liverpool St NR - Maryland
Liverpool St NR,Marble Arch,1,Liverpool St NR - Marble Arch
Liverpool St NR,Liverpool Street,1,Liverpool St NR - Liverpool Street
Liverpool St NR,Leyton Midland Road,1,Liverpool St NR - Leyton Midland Road
Liverpool St NR,Leicester Square,1,Liverpool St NR - Leicester Square
Liverpool St NR,Ickenham,1,Liverpool St NR - Ickenham
Liverpool St NR,Highgate,1,Liverpool St NR - Highgate
Liverpool St NR,Heron Quays,1,Liverpool St NR - Heron Quays
Liverpool St NR,Heathrow Terminals 2&3,1,Liverpool St NR - Heathrow Terminals 2&3
Liverpool St NR,Headstone Lane,1,Liverpool St NR - Headstone Lane
Liverpool St NR,Harrow & Wealdstone,1,Liverpool St NR - Harrow & Wealdstone
Liverpool St NR,Greenwich,1,Liverpool St NR - Greenwich
Liverpool St NR,Greenford,1,Liverpool St NR - Greenford
London Bridge,Cutty Sark,1,London Bridge - Cutty Sark
London Bridge,Covent Garden,1,London Bridge - Covent Garden
Leytonstone,Brixton,1,Leytonstone - Brixton
Kings Cross St Pancras,Silver Street,1,Kings Cross St Pancras - Silver Street
Kings Cross St Pancras,Tottenham Hale,1,Kings Cross St Pancras - Tottenham Hale
Kings Cross St Pancras,Tooting Bec,1,Kings Cross St Pancras - Tooting Bec
Kings Cross St Pancras,St Johns Wood,1,Kings Cross St Pancras - St Johns Wood
Kings Cross St Pancras,St James's Park,1,Kings Cross St Pancras - St James's Park
Kings Cross St Pancras,Southwark,1,Kings Cross St Pancras - Southwark
Kings Cross St Pancras,Southall,1,Kings Cross St Pancras - Southall
Kings Cross St Pancras,South Tottenham,1,Kings Cross St Pancras - South Tottenham
Kings Cross St Pancras,South Quay,1,Kings Cross St Pancras - South Quay
Kings Cross St Pancras,South Kensington,1,Kings Cross St Pancras - South Kensington
Kings Cross St Pancras,South Harrow,1,Kings Cross St Pancras - South Harrow
Kings Cross St Pancras,Sloane Square,1,Kings Cross St Pancras - Sloane Square
Kings Cross St Pancras,Shenfield,1,Kings Cross St Pancras - Shenfield
Kings Cross St Pancras,Tufnell Park,1,Kings Cross St Pancras - Tufnell Park
Kingsbury,Dalston Junction,1,Kingsbury - Dalston Junction
Kingsbury,Earls Court,1,Kingsbury - Earls Court
Kingsbury,Harrow-on-the-Hill,1,Kingsbury - Harrow-on-the-Hill
Kingsbury,Leicester Square,1,Kingsbury - Leicester Square
Knightsbridge,North Greenwich,1,Knightsbridge - North Greenwich
Knightsbridge,Loughton,1,Knightsbridge - Loughton
Knightsbridge,Limehouse DLR,1,Knightsbridge - Limehouse DLR
Knightsbridge,Kings Cross St Pancras,1,Knightsbridge - Kings Cross St Pancras
Knightsbridge,Hounslow Central,1,Knightsbridge - Hounslow Central
Knightsbridge,Hammersmith D&P,1,Knightsbridge - Hammersmith D&P
Knightsbridge,Embankment,1,Knightsbridge - Embankment
Kings Cross St Pancras,Tower Hill,1,Kings Cross St Pancras - Tower Hill
Kings Cross St Pancras,Vauxhall,1,Kings Cross St Pancras - Vauxhall
Knightsbridge,Russell Square,1,Knightsbridge - Russell Square
Lambeth North,Green Park,1,Lambeth North - Green Park
Lancaster Gate,Debden,1,Lancaster Gate - Debden
Lancaster Gate,Dalston Junction,1,Lancaster Gate - Dalston Junction
Lancaster Gate,Covent Garden,1,Lancaster Gate - Covent Garden
Lancaster Gate,Clapham Junction,1,Lancaster Gate - Clapham Junction
Lancaster Gate,Bond Street,1,Lancaster Gate - Bond Street
Lancaster Gate,Bermondsey,1,Lancaster Gate - Bermondsey
Lancaster Gate,Bank,1,Lancaster Gate - Bank
Lancaster Gate,Aldgate,1,Lancaster Gate - Aldgate
Lambeth North,Westminster,1,Lambeth North - Westminster
Lambeth North,South Ruislip,1,Lambeth North - South Ruislip
Lambeth North,Old Street,1,Lambeth North - Old Street
Lancaster Gate,Elephant & Castle,1,Lancaster Gate - Elephant & Castle
Kings Cross St Pancras,Walthamstow Central,1,Kings Cross St Pancras - Walthamstow Central
Langdon Park,Hackney Central,1,Langdon Park - Hackney Central
Knightsbridge,Piccadilly Circus,1,Knightsbridge - Piccadilly Circus
Knightsbridge,Notting Hill Gate,1,Knightsbridge - Notting Hill Gate
Kingsbury,Brixton,1,Kingsbury - Brixton
Kings Cross St Pancras,Willesden Green,1,Kings Cross St Pancras - Willesden Green
Kings Cross St Pancras,Whitechapel,1,Kings Cross St Pancras - Whitechapel
Kings Cross St Pancras,White Hart Lane,1,Kings Cross St Pancras - White Hart Lane
Kings Cross St Pancras,Westminster,1,Kings Cross St Pancras - Westminster
Kings Cross St Pancras,West Hampstead,1,Kings Cross St Pancras - West Hampstead
Kings Cross St Pancras,West Ham,1,Kings Cross St Pancras - West Ham
Kings Cross St Pancras,West Ealing,1,Kings Cross St Pancras - West Ealing
Knightsbridge,Elephant & Castle,1,Knightsbridge - Elephant & Castle
Knightsbridge,East Finchley,1,Knightsbridge - East Finchley
Knightsbridge,Denmark Hill,1,Knightsbridge - Denmark Hill
Lewisham DLR,Elephant & Castle,1,Lewisham DLR - Elephant & Castle
Leyton,Cutty Sark,1,Leyton - Cutty Sark
Leyton,Crouch Hill,1,Leyton - Crouch Hill
Leyton,Cheshunt,1,Leyton - Cheshunt
Leyton,Bermondsey,1,Leyton - Bermondsey
Lewisham DLR,White Hart Lane,1,Lewisham DLR - White Hart Lane
Lewisham DLR,Stratford,1,Lewisham DLR - Stratford
Lewisham DLR,Knightsbridge,1,Lewisham DLR - Knightsbridge
Lewisham DLR,Highbury & Islington,1,Lewisham DLR - Highbury & Islington
Lewisham DLR,Haggerston,1,Lewisham DLR - Haggerston
Lewisham DLR,Finchley Central,1,Lewisham DLR - Finchley Central
Lewisham DLR,Elverson Road,1,Lewisham DLR - Elverson Road
Lewisham DLR,Barking,1,Lewisham DLR - Barking
Knightsbridge,Covent Garden,1,Knightsbridge - Covent Garden
Lewisham DLR,Bank,1,Lewisham DLR - Bank
Leicester Square,Wood Green,1,Leicester Square - Wood Green
Leicester Square,Willesden Junction,1,Leicester Square - Willesden Junction
Leicester Square,Watford Met,1,Leicester Square - Watford Met
Leyton,Hendon Central,1,Leyton - Hendon Central
Leyton,Homerton,1,Leyton - Homerton
Leyton,Hounslow Central,1,Leyton - Hounslow Central
Leyton,Kilburn Park,1,Leyton - Kilburn Park
Leytonstone,Ealing Broadway,1,Leytonstone - Ealing Broadway
Leytonstone,Dalston Kingsland,1,Leytonstone - Dalston Kingsland
Leytonstone,Camden Town,1,Leytonstone - Camden Town
Leyton,East Finchley,1,Leyton - East Finchley
Leyton,Elephant & Castle,1,Leyton - Elephant & Castle
Leyton,Farringdon,1,Leyton - Farringdon
Leyton,Finsbury Park,1,Leyton - Finsbury Park
Knightsbridge,Colindale,1,Knightsbridge - Colindale
Knightsbridge,Paddington EL,1,Knightsbridge - Paddington EL
Knightsbridge,Canary Wharf,1,Knightsbridge - Canary Wharf
Knightsbridge,Bounds Green,1,Knightsbridge - Bounds Green
Knightsbridge,Bond Street,1,Knightsbridge - Bond Street
Knightsbridge,Bethnal Green,1,Knightsbridge - Bethnal Green
Knightsbridge,Arsenal,1,Knightsbridge - Arsenal
Knightsbridge,Angel,1,Knightsbridge - Angel
Kingsbury,Westminster,1,Kingsbury - Westminster
Kingsbury,Waterloo,1,Kingsbury - Waterloo
Kingsbury,Victoria,1,Kingsbury - Victoria
Kingsbury,Uxbridge,1,Kingsbury - Uxbridge
Kingsbury,South Ealing,1,Kingsbury - South Ealing
Kingsbury,Shadwell DLR,1,Kingsbury - Shadwell DLR
Kingsbury,Monument,1,Kingsbury - Monument
Knightsbridge,Camden Town,1,Knightsbridge - Camden Town
Leytonstone,Euston,1,Leytonstone - Euston
Langdon Park,Harold Wood,1,Langdon Park - Harold Wood
Langdon Park,Victoria,1,Langdon Park - Victoria
Leyton,Heathrow Terminal 5,1,Leyton - Heathrow Terminal 5
Leyton,Harrow & Wealdstone,1,Leyton - Harrow & Wealdstone
Leyton,Hampstead Heath,1,Leyton - Hampstead Heath
Leyton,Hainault,1,Leyton - Hainault
Lancaster Gate,Embankment,1,Lancaster Gate - Embankment
Lancaster Gate,Heathrow Terminals 2&3,1,Lancaster Gate - Heathrow Terminals 2&3
London Bridge,Colliers Wood,1,London Bridge - Colliers Wood
Liverpool Street,St Johns Wood,1,Liverpool Street - St Johns Wood
Liverpool Street,Euston,1,Liverpool Street - Euston
Liverpool Street,Embankment,1,Liverpool Street - Embankment
Liverpool Street,Edgware Road B,1,Liverpool Street - Edgware Road B
Liverpool Street,East Putney,1,Liverpool Street - East Putney
Liverpool Street,East Ham,1,Liverpool Street - East Ham
Liverpool Street,East Finchley,1,Liverpool Street - East Finchley
Liverpool Street,Manor House,1,Liverpool Street - Manor House
Liverpool Street,Marylebone,1,Liverpool Street - Marylebone
Liverpool Street,Neasden,1,Liverpool Street - Neasden
Liverpool Street,Newbury Park,1,Liverpool Street - Newbury Park
Liverpool Street,St Pauls,1,Liverpool Street - St Pauls
Liverpool Street,Southgate,1,Liverpool Street - Southgate
Liverpool Street,Finsbury Park,1,Liverpool Street - Finsbury Park
Liverpool Street,Southall,1,Liverpool Street - Southall
Liverpool Street,South Woodford,1,Liverpool Street - South Woodford
Liverpool Street,South Wimbledon,1,Liverpool Street - South Wimbledon
Liverpool Street,South Kensington,1,Liverpool Street - South Kensington
Liverpool Street,Snaresbrook,1,Liverpool Street - Snaresbrook
Liverpool Street,Shepherds Bush Market,1,Liverpool Street - Shepherds Bush Market
Liverpool Street,Shadwell LO,1,Liverpool Street - Shadwell LO
Liverpool Street,Seven Sisters,1,Liverpool Street - Seven Sisters
Liverpool Street,Ruislip,1,Liverpool Street - Ruislip
Liverpool Street,Tooting Broadway,1,Liverpool Street - Tooting Broadway
Liverpool Street,Romford,1,Liverpool Street - Romford
Liverpool Street,Finchley Road,1,Liverpool Street - Finchley Road
Liverpool Street,Fulham Broadway,1,Liverpool Street - Fulham Broadway
Lancaster Gate,Ilford,1,Lancaster Gate - Ilford
Liverpool Street,Leicester Square,1,Liverpool Street - Leicester Square
London Bridge,Clapham South,1,London Bridge - Clapham South
London Bridge,Clapham High Street,1,London Bridge - Clapham High Street
London Bridge,Clapham Common,1,London Bridge - Clapham Common
London Bridge,Cheshunt,1,London Bridge - Cheshunt
London Bridge,Chancery Lane,1,London Bridge - Chancery Lane
London Bridge,East Finchley,1,London Bridge - East Finchley
Liverpool Street,Earls Court,1,Liverpool Street - Earls Court
Liverpool Street,Tower Gateway,1,Liverpool Street - Tower Gateway
Liverpool Street,Stockwell,1,Liverpool Street - Stockwell
Liverpool Street,Leytonstone,1,Liverpool Street - Leytonstone
Liverpool Street,Leyton,1,Liverpool Street - Leyton
Liverpool Street,Langdon Park,1,Liverpool Street - Langdon Park
Liverpool Street,Green Park,1,Liverpool Street - Green Park
Liverpool Street,Ladbroke Grove,1,Liverpool Street - Ladbroke Grove
Liverpool Street,Kentish Town,1,Liverpool Street - Kentish Town
Liverpool Street,Hounslow East,1,Liverpool Street - Hounslow East
Liverpool Street,Homerton,1,Liverpool Street - Homerton
Liverpool Street,Highgate,1,Liverpool Street - Highgate
Liverpool Street,Hayes & Harlington,1,Liverpool Street - Hayes & Harlington
Liverpool Street,Harrow & Wealdstone,1,Liverpool Street - Harrow & Wealdstone
Liverpool Street,Harold Wood,1,Liverpool Street - Harold Wood
Liverpool Street,Hampstead Heath,1,Liverpool Street - Hampstead Heath
Liverpool Street,Hammersmith D&P,1,Liverpool Street - Hammersmith D&P
Liverpool Street,Hackney Central,1,Liverpool Street - Hackney Central
Liverpool Street,Redbridge,1,Liverpool Street - Redbridge
Liverpool Street,Putney Bridge,1,Liverpool Street - Putney Bridge
Liverpool Street,Preston Road,1,Liverpool Street - Preston Road
Ladbroke Grove,West Hampstead,1,Ladbroke Grove - West Hampstead
Knightsbridge,Wimbledon,1,Knightsbridge - Wimbledon
Knightsbridge,Whitechapel,1,Knightsbridge - Whitechapel
Knightsbridge,White City,1,Knightsbridge - White City
Knightsbridge,Wembley Central,1,Knightsbridge - Wembley Central
Knightsbridge,Watford Met,1,Knightsbridge - Watford Met
Knightsbridge,Wanstead Park,1,Knightsbridge - Wanstead Park
Knightsbridge,Turnpike Lane,1,Knightsbridge - Turnpike Lane
Knightsbridge,Turnham Green,1,Knightsbridge - Turnham Green
Swiss Cottage,Kings Cross St Pancras,1,Swiss Cottage - Kings Cross St Pancras
Knightsbridge,Stockwell,1,Knightsbridge - Stockwell
Ladbroke Grove,Warwick Avenue,1,Ladbroke Grove - Warwick Avenue
Ladbroke Grove,Wood Green,1,Ladbroke Grove - Wood Green
Liverpool Street,Poplar,1,Liverpool Street - Poplar
Lambeth North,Euston,1,Lambeth North - Euston
Lancaster Gate,Whitechapel,1,Lancaster Gate - Whitechapel
Lancaster Gate,Waterloo,1,Lancaster Gate - Waterloo
Lancaster Gate,Victoria,1,Lancaster Gate - Victoria
Lancaster Gate,Tooting Broadway,1,Lancaster Gate - Tooting Broadway
Lancaster Gate,Stratford,1,Lancaster Gate - Stratford
Lancaster Gate,Southall,1,Lancaster Gate - Southall
Lancaster Gate,Paddington EL,1,Lancaster Gate - Paddington EL
Lancaster Gate,Paddington,1,Lancaster Gate - Paddington
Lancaster Gate,Oxford Circus,1,Lancaster Gate - Oxford Circus
Lancaster Gate,Leyton,1,Lancaster Gate - Leyton
Ladbroke Grove,Baker Street,1,Ladbroke Grove - Baker Street
Ladbroke Grove,Barons Court,1,Ladbroke Grove - Barons Court
Ladbroke Grove,Elverson Road,1,Ladbroke Grove - Elverson Road
Ladbroke Grove,Euston,1,Ladbroke Grove - Euston
Liverpool Street,Pontoon Dock DLR,1,Liverpool Street - Pontoon Dock DLR
Liverpool Street,Plaistow,1,Liverpool Street - Plaistow
Liverpool Street,Peckham Rye,1,Liverpool Street - Peckham Rye
Liverpool Street,Paddington,1,Liverpool Street - Paddington
Liverpool Street,Old Street,1,Liverpool Street - Old Street
Liverpool Street,Notting Hill Gate,1,Liverpool Street - Notting Hill Gate
Liverpool Street,Norwood Junction,1,Liverpool Street - Norwood Junction
Liverpool Street,North Wembley,1,Liverpool Street - North Wembley
Liverpool Street,Richmond,1,Liverpool Street - Richmond
London Bridge,Harold Wood,1,London Bridge - Harold Wood
Leytonstone,Goodge Street,1,Leytonstone - Goodge Street
Leytonstone,East Putney,1,Leytonstone - East Putney
Ladbroke Grove,Stratford,1,Ladbroke Grove - Stratford
Ladbroke Grove,Stockwell,1,Ladbroke Grove - Stockwell
Ladbroke Grove,Sloane Square,1,Ladbroke Grove - Sloane Square
Ladbroke Grove,Shepherds Bush,1,Ladbroke Grove - Shepherds Bush
Ladbroke Grove,Royal Victoria,1,Ladbroke Grove - Royal Victoria
Ladbroke Grove,Ravenscourt Park,1,Ladbroke Grove - Ravenscourt Park
Ladbroke Grove,Pinner,1,Ladbroke Grove - Pinner
Ladbroke Grove,Leytonstone,1,Ladbroke Grove - Leytonstone
Ladbroke Grove,Highbury & Islington,1,Ladbroke Grove - Highbury & Islington
Ladbroke Grove,Great Portland Street,1,Ladbroke Grove - Great Portland Street
Ladbroke Grove,Farringdon,1,Ladbroke Grove - Farringdon
Swiss Cottage,Lewisham DLR,1,Swiss Cottage - Lewisham DLR
Canary Wharf EL,London Bridge,1,Canary Wharf EL - London Bridge
Swiss Cottage,King George V,1,Swiss Cottage - King George V
Hackney Central,Queensway,1,Hackney Central - Queensway
Heathrow Terminals 2&3,West Hampstead,1,Heathrow Terminals 2&3 - West Hampstead
Heathrow Terminals 2&3,Waterloo,1,Heathrow Terminals 2&3 - Waterloo
Heathrow Terminals 2&3,Wandsworth Road,1,Heathrow Terminals 2&3 - Wandsworth Road
Heathrow Terminals 2&3,Stratford,1,Heathrow Terminals 2&3 - Stratford
Hendon Central,Hyde Park Corner,1,Hendon Central - Hyde Park Corner
Highams Park,Limehouse DLR,1,Highams Park - Limehouse DLR
Hanger Lane,Oxford Circus,1,Hanger Lane - Oxford Circus
Hanger Lane,Leicester Square,1,Hanger Lane - Leicester Square
Hackney Central,Upminster,1,Hackney Central - Upminster
Hackney Central,South Woodford,1,Hackney Central - South Woodford
Hackney Central,Shenfield,1,Hackney Central - Shenfield
Hackney Central,Queensbury,1,Hackney Central - Queensbury
Hendon Central,Angel,1,Hendon Central - Angel
Hackney Central,Paddington EL,1,Hackney Central - Paddington EL
